Encèlad € Encèlad € NPMSG00 € ənsˈɛlət
encelada € encelar € VMP00SF0 € ənsəlˈaðə
encelades € encelar € VMP00PF0 € ənsəlˈaðəs
encelant € encelar € VMG00000 € ənsəlˈan
encelar € encelar € VMN00000 € ənsəlˈa
encelarà € encelar € VMIF3S00 € ənsələɾˈa
encelaran € encelar € VMIF3P00 € ənsələɾˈan
encelaràs € encelar € VMIF2S00 € ənsələɾˈas
encelaré € encelar € VMIF1S00 € ənsələɾˈe
encelarem € encelar € VMIF1P00 € ənsələɾˈɛm
encelàrem € encelar € VMIS1P00 € ənsəlˈaɾəm
encelaren € encelar € VMIS3P00 € ənsəlˈaɾən
encelares € encelar € VMIS2S00 € ənsəlˈaɾəs
encelareu € encelar € VMIF2P00 € ənsələɾˈɛw
encelàreu € encelar € VMIS2P00 € ənsəlˈaɾəw
encelaria € encelar € VMCC1S00 € ənsələɾˈiə
encelaríem € encelar € VMCC1P00 € ənsələɾˈiəm
encelarien € encelar € VMCC3P00 € ənsələɾˈiən
encelaries € encelar € VMCC2S00 € ənsələɾˈiəs
encelaríeu € encelar € VMCC2P00 € ənsələɾˈiəw
encelat € encelar € VMP00SM0 € ənsəlˈat
encelats € encelar € VMP00PM0 € ənsəlˈats
encelava € encelar € VMII1S00 € ənsəlˈaβə
encelàvem € encelar € VMII1P00 € ənsəlˈaβəm
encelaven € encelar € VMII3P00 € ənsəlˈaβən
encelaves € encelar € VMII2S00 € ənsəlˈaβəs
encelàveu € encelar € VMII2P00 € ənsəlˈaβəw
encelem € encelar € VMIP1P00 € ənsəlˈɛm
encelem € encelar € VMM01P00 € ənsəlˈɛm
encelem € encelar € VMSP1P00 € ənsəlˈɛm
encelen € encelar € VMIP3P00 € ənsˈɛlən
enceles € encelar € VMIP2S00 € ənsˈɛləs
encelés € encelar € VMSI1S01 € ənsəlˈes
enceléssim € encelar € VMSI1P02 € ənsəlˈesim
encelessin € encelar € VMSI3P02 € ənsəlˈesin
encelessis € encelar € VMSI2S02 € ənsəlˈesis
enceléssiu € encelar € VMSI2P02 € ənsəlˈesiw
enceleu € encelar € VMIP2P00 € ənsəlˈɛw
enceleu € encelar € VMM02P0X € ənsəlˈɛw
enceleu € encelar € VMSP2P00 € ənsəlˈɛw
enceli € encelar € VMM03S0Y € ənsˈɛli
enceli € encelar € VMSP1S0Y € ənsˈɛli
encelí € encelar € VMIS1S00 € ənsəlˈi
encelin € encelar € VMM03P0Y € ənsˈɛlin
encelin € encelar € VMSP3P0Y € ənsˈɛlin
encelis € encelar € VMSP2S0Y € ənsˈɛlis
encelo € encelar € VMIP1S0C € ənsˈɛlu
encén € encendre € VMIP3S00 € ənsˈen
encén € encendre € VMM02S00 € ənsˈen
encenaire € encenaire € NCCS000 € ənsənˈajɾə
encenaires € encenaire € NCCP000 € ənsənˈajɾəs
encenall € encenall € NCMS000 € ənsənˈaʎ
encenalls € encenall € NCMP000 € ənsənˈaʎs
encenc € encendre € VMIP1S00 € ənsˈeŋ
encendra € encendrar € VMIP3S00 € ənsˈendɾə
encendra € encendrar € VMM02S00 € ənsˈendɾə
encendrà € encendrar € VMIS3S00 € ənsəndɾˈa
encendrà € encendre € VMIF3S00 € ənsəndɾˈa
encendrada € encendrar € VMP00SF0 € ənsəndɾˈaðə
encendrades € encendrar € VMP00PF0 € ənsəndɾˈaðəs
encendran € encendre € VMIF3P00 € ənsəndɾˈan
encendrant € encendrar € VMG00000 € ənsəndɾˈan
encendrar € encendrar € VMN00000 € ənsəndɾˈa
encendrarà € encendrar € VMIF3S00 € ənsəndɾəɾˈa
encendraran € encendrar € VMIF3P00 € ənsəndɾəɾˈan
encendraràs € encendrar € VMIF2S00 € ənsəndɾəɾˈas
encendraré € encendrar € VMIF1S00 € ənsəndɾəɾˈe
encendrarem € encendrar € VMIF1P00 € ənsəndɾəɾˈɛm
encendràrem € encendrar € VMIS1P00 € ənsəndɾˈaɾəm
encendraren € encendrar € VMIS3P00 € ənsəndɾˈaɾən
