exemplarment € exemplarment € ZRG € əɡzəmplˈarmˈen
exemplars € exemplar € AQ0CP0 € əɡzəmplˈars
exemplars € exemplar € NCMP000 € əɡzəmplˈars
exemple € exemple € NCMS000 € əɡzˈemplə
exemples € exemple € NCMP000 € əɡzˈempləs
exemplifica € exemplificar € VMIP3S00 € əɡzəmplifˈikə
exemplifica € exemplificar € VMM02S00 € əɡzəmplifˈikə
exemplificà € exemplificar € VMIS3S00 € əɡzəmplifikˈa
exemplificació € exemplificació € NCFS000 € əɡzəmplifikəsiˈo
exemplificacions € exemplificació € NCFP000 € əɡzəmplifikəsiˈons
exemplificada € exemplificar € VMP00SF0 € əɡzəmplifikˈaðə
exemplificades € exemplificar € VMP00PF0 € əɡzəmplifikˈaðəs
exemplificant € exemplificar € VMG00000 € əɡzəmplifikˈan
exemplificar € exemplificar € VMN00000 € əɡzəmplifikˈa
exemplificarà € exemplificar € VMIF3S00 € əɡzəmplifikəɾˈa
exemplificaran € exemplificar € VMIF3P00 € əɡzəmplifikəɾˈan
exemplificaràs € exemplificar € VMIF2S00 € əɡzəmplifikəɾˈas
exemplificaré € exemplificar € VMIF1S00 € əɡzəmplifikəɾˈe
exemplificarem € exemplificar € VMIF1P00 € əɡzəmplifikəɾˈɛm
exemplificàrem € exemplificar € VMIS1P00 € əɡzəmplifikˈaɾəm
exemplificaren € exemplificar € VMIS3P00 € əɡzəmplifikˈaɾən
exemplificares € exemplificar € VMIS2S00 € əɡzəmplifikˈaɾəs
exemplificareu € exemplificar € VMIF2P00 € əɡzəmplifikəɾˈɛw
exemplificàreu € exemplificar € VMIS2P00 € əɡzəmplifikˈaɾəw
exemplificaria € exemplificar € VMCC1S00 € əɡzəmplifikəɾˈiə
exemplificaríem € exemplificar € VMCC1P00 € əɡzəmplifikəɾˈiəm
exemplificarien € exemplificar € VMCC3P00 € əɡzəmplifikəɾˈiən
exemplificaries € exemplificar € VMCC2S00 € əɡzəmplifikəɾˈiəs
exemplificaríeu € exemplificar € VMCC2P00 € əɡzəmplifikəɾˈiəw
exemplificat € exemplificar € VMP00SM0 € əɡzəmplifikˈat
exemplificatiu € exemplificatiu € AQ0MS0 € əɡzəmplifikətˈiw
exemplificatius € exemplificatiu € AQ0MP0 € əɡzəmplifikətˈiws
exemplificativa € exemplificatiu € AQ0FS0 € əɡzəmplifikətˈiβə
exemplificatives € exemplificatiu € AQ0FP0 € əɡzəmplifikətˈiβəs
exemplificats € exemplificar € VMP00PM0 € əɡzəmplifikˈats
exemplificava € exemplificar € VMII1S00 € əɡzəmplifikˈaβə
exemplificàvem € exemplificar € VMII1P00 € əɡzəmplifikˈaβəm
exemplificaven € exemplificar € VMII3P00 € əɡzəmplifikˈaβən
exemplificaves € exemplificar € VMII2S00 € əɡzəmplifikˈaβəs
exemplificàveu € exemplificar € VMII2P00 € əɡzəmplifikˈaβəw
exemplifico € exemplificar € VMIP1S0C € əɡzəmplifˈiku
exemplifiquem € exemplificar € VMIP1P00 € əɡzəmplifikˈɛm
exemplifiquem € exemplificar € VMM01P00 € əɡzəmplifikˈɛm
exemplifiquem € exemplificar € VMSP1P00 € əɡzəmplifikˈɛm
exemplifiquen € exemplificar € VMIP3P00 € əɡzəmplifˈikən
