Gafarró € Gafarró € NPMSG00 € ɡəfərˈo
gafarró € gafarró € NCMS000 € ɡəfərˈo
gafarrons € gafarró € NCMP000 € ɡəfərˈons
gaferot € gaferot € NCMS000 € ɡəfəɾˈɔt
gaferots € gaferot € NCMP000 € ɡəfəɾˈɔts
gafes € gafa € NCFP000 € ɡˈafəs
gafet € gafet € NCMS000 € ɡəfˈɛt
gafeta € gafeta € NCFS000 € ɡəfˈetə
gafetes € gafeta € NCFP000 € ɡəfˈetəs
gafets € gafet € NCMP000 € ɡəfˈɛts
gag € gag € NCMS000 € ɡˈak
Gagny € Gagny € NPCSG00 € ɡˈaɡni
gags € gag € NCMP000 € ɡˈaks
gahnita € gahnita € NCFS000 € ɡənˈitə
Gai € Gai € NPCNSP0 € ɡˈaj
gai € gai € NCMS000 € ɡˈaj
gai € gai € AQ0MS0 € ɡˈaj
Gaia € Gaia € NPCNSP0 € ɡˈajə
gaia € gai € AQ0FS0 € ɡˈajə
gaia € gaia € NCFS000 € ɡˈajə
Gaià € Gaià € NPCNSP0 € ɡəjˈa
gaiada € gaiat € AQ0FS0 € ɡəjˈaðə
gaiades € gaiat € AQ0FP0 € ɡəjˈaðəs
gaial € gaial € NCMS000 € ɡəjˈal
gaials € gaial € NCMP000 € ɡəjˈals
gaiament € gaiament € ZRG € ɡˈajəmˈen
gaianer € gaianer € AQ0MS0 € ɡəjənˈe
gaianera € gaianer € AQ0FS0 € ɡəjənˈeɾə
Gaianes € Gaianes € NPCSG00 € ɡəjˈanəs
gaianès € gaianès € AQ0MS0 € ɡəjənˈɛs
gaianès € gaianès € NCMS000 € ɡəjənˈɛs
gaianesa € gaianès € AQ0FS0 € ɡəjənˈɛzə
gaianesa € gaianès € NCFS000 € ɡəjənˈɛzə
gaiat € gaiat € AQ0MS0 € ɡəjˈat
gaiata € gaiata € NCFS000 € ɡəjˈatə
gaiatell € gaiatell € NCMS000 € ɡəjətˈeʎ
gaiatells € gaiatell € NCMP000 € ɡəjətˈeʎs
gaiates € gaiata € NCFP000 € ɡəjˈatəs
gaiato € gaiato € NCMS000 € ɡəjˈatu
gaiatos € gaiato € NCMP000 € ɡəjˈatus
gaiats € gaiat € AQ0MP0 € ɡəjˈats
Gaibiel € Gaibiel € NPCSG00 € ɡəjβiˈɛl
gaibielà € gaibielà € AQ0MS0 € ɡəjβiəlˈa
gaibielana € gaibielà € AQ0FS0 € ɡəjβiəlˈanə
gaies € gai € AQ0FP0 € ɡˈajəs
gaies € gaia € NCFP000 € ɡˈajəs
Gaieta € Gaieta € NPCNSP0 € ɡəjˈɛtə
gaieta € gaieta € NCFS000 € ɡəjˈɛtə
Gaietà € Gaietà € NPMSSP0 € ɡəjətˈa
gaietes € gaieta € NCFP000 € ɡəjˈɛtəs
Gaig € Gaig € NPCNSP0 € ɡˈatʃ
gaig € gaig € NCMS000 € ɡˈatʃ
gaigs € gaig € NCMP000 € ɡˈatʃs
Gail € Gail € NPCSG00 € ɡˈajl
Gaina € Gaina € NPCSG00 € ɡˈajnə
Gaiol € Gaiol € NPCNSP0 € ɡəjˈɔl
gaiol € gaiol € NCMS000 € ɡəjˈɔl
gaiola € gaiola € NCFS000 € ɡəjˈɔlə
gaioles € gaiola € NCFP000 € ɡəjˈɔləs
gaiols € gaiol € NCMP000 € ɡəjˈɔls
gaire € gaire € DI0CS0 € ɡˈajɾə
gaire € gaire € PI0CS000 € ɡˈajɾə
gaire € gaire € ZRG € ɡˈajɾə
gairebé € gairebé € ZRG € ɡəjɾəβˈe
gaires € gaire € DI0CP0 € ɡˈajɾəs
gaires € gaire € PI0CP000 € ɡˈajɾəs
gairó € gairó € NCMS000 € ɡəjɾˈo
gaironet € gaironet € NCMS000 € ɡəjɾunˈɛt
gaironets € gaironet € NCMP000 € ɡəjɾunˈɛts
gairons € gairó € NCMP000 € ɡəjɾˈons
gais € gai € NCMP000 € ɡˈajs
gais € gai € AQ0MP0 € ɡˈajs
gaita € gaita € NCFS000 € ɡəˈitə
gaiter € gaiter € NCMS000 € ɡəjtˈe
gaitera € gaiter € NCFS000 € ɡəjtˈeɾə
gaiteres € gaiter € NCFP000 € ɡəjtˈeɾəs
gaiters € gaiter € NCMP000 € ɡəjtˈes
gaites € gaita € NCFP000 € ɡəˈitəs
Gaius € Gaius € NPMSSP0 € ɡˈajws
gaixiva € gaixiva € NCFS000 € ɡəʃˈiβə
gaixives € gaixiva € NCFP000 € ɡəʃˈiβəs
gajos € gaig € NCMP000 € ɡˈaʒus
Gal € Gal € NPMSSP0 € ɡˈal
gal € gal € AQ0MS0 € ɡˈal
gal € gal € NCMS000 € ɡˈal
gala € gala € NCFS000 € ɡˈalə
galà € galà € AQ0MS0 € ɡəlˈa
Galàcia € Galàcia € NPFSG00 € ɡəlˈasiə
galactagog € galactagog € AQ0MS0 € ɡələktəɣˈɔk
galactagog € galactagog € NCMS000 € ɡələktəɣˈɔk
galactagoga € galactagog € AQ0FS0 € ɡələktəɣˈɔɣə
galactagogs € galactagog € AQ0MP0 € ɡələktəɣˈɔks
galactagogs € galactagog € NCMP000 € ɡələktəɣˈɔks
galactagogues € galactagog € AQ0FP0 € ɡələktəɣˈɔɣəs
galactan € galactan € NCMS000 € ɡələktˈan
galactana € galactana € NCFS000 € ɡələktˈanə
galactans € galactan € NCMP000 € ɡələktˈans
galàctic € galàctic € AQ0MS0 € ɡəlˈaktik
galàctica € galàctic € AQ0FS0 € ɡəlˈaktikə
galàctics € galàctic € AQ0MP0 € ɡəlˈaktiks
galàctiques € galàctic € AQ0FP0 € ɡəlˈaktikəs
galactita € galactita € NCFS000 € ɡələktˈitə
galactites € galactita € NCFP000 € ɡələktˈitəs
galactitol € galactitol € NCMS000 € ɡələktitˈɔl
galactocele € galactocele € NCFS000 € ɡələktusˈɛlə
galactoceles € galactocele € NCFP000 € ɡələktusˈɛləs
galactòfor € galactòfor € AQ0MS0 € ɡələktˈɔfur
galactòfora € galactòfor € AQ0FS0 € ɡələktˈɔfuɾə
galactòfores € galactòfor € AQ0FP0 € ɡələktˈɔfuɾəs
galactòfors € galactòfor € AQ0MP0 € ɡələktˈɔfurs
galactogen € galactogen € AQ0MS0 € ɡələktˈɔʒən
galactogen € galactogen € NCMS000 € ɡələktˈɔʒən
galactòmetre € galactòmetre € NCMS000 € ɡələktˈɔmətɾə
galactòmetres € galactòmetre € NCMP000 € ɡələktˈɔmətɾəs
galactopoesi € galactopoesi € NCFS000 € ɡələktupuˈɛzi
galactopoesis € galactopoesi € NCFP000 € ɡələktupuˈɛzis
galactorrea € galactorrea € NCFS000 € ɡələkturˈɛə
