Richelieu € Richelieu € NPMSSP0 € ritʃəliˈɛw
Richmond € Richmond € NPCSG00 € ritʃmˈɔn
Richter € Richter € NPCNSP0 € ritʃtˈe
ricí € ricí € NCMS000 € risˈi
ricina € ricina € NCFS000 € risˈinə
riciner € riciner € NCMS000 € risinˈe
riciners € riciner € NCMP000 € risinˈes
ricínic € ricínic € AQ0MS0 € risˈinik
ricínica € ricínic € AQ0FS0 € risˈinikə
ricínics € ricínic € AQ0MP0 € risˈiniks
ricíniques € ricínic € AQ0FP0 € risˈinikəs
ricinoleat € ricinoleat € NCMS000 € risinuleˈat
ricinoleats € ricinoleat € NCMP000 € risinuleˈats
ricinoleic € ricinoleic € AQ0MS0 € risinulˈɛjk
ricinoleica € ricinoleic € AQ0FS0 € risinulˈɛjkə
ricinoleics € ricinoleic € AQ0MP0 € risinulˈɛjks
ricinoleïna € ricinoleïna € NCFS000 € risinuləˈinə
ricinoleïnes € ricinoleïna € NCFP000 € risinuləˈinəs
ricinoleiques € ricinoleic € AQ0FP0 € risinulˈɛjkəs
ricins € ricí € NCMP000 € risˈins
ricinuli € ricinuli € NCMS000 € risinˈuli
ricinulis € ricinuli € NCMP000 € risinˈulis
rickettsià € rickettsià € AQ0MS0 € rikətsiˈa
rickèttsia € rickèttsia € NCFS000 € rikˈɛtsiə
rickettsiàcia € rickettsiàcia € NCFS000 € rikətsiˈasiə
rickettsiàcies € rickettsiàcia € NCFP000 € rikətsiˈasiəs
rickettsiana € rickettsià € AQ0FS0 € rikətsiˈanə
rickettsianes € rickettsià € AQ0FP0 € rikətsiˈanəs
rickettsians € rickettsià € AQ0MP0 € rikətsiˈans
rickèttsies € rickèttsia € NCFP000 € rikˈɛtsiəs
rickettsiosi € rickettsiosi € NCFS000 € rikətsiˈɔzi
rickettsiosis € rickettsiosi € NCFP000 € rikətsiˈɔzis
rico € ricar € VMIP1S0C € rˈiko
ricor € ricor € NCFS000 € rikˈo
ricors € ricor € NCFP000 € rikˈos
Ricort € Ricort € NPCNSP0 € rikˈɔr
rics € ric € AQ0MP0 € rˈiks
rics € ric € NCMP000 € rˈiks
rictus € rictus € NCMN000 € rˈiktus
Ridaura € Ridaura € NPCNSP0 € riðˈawɾə
rider € rider € NCCS000 € riðˈe
riders € rider € NCCP000 € riðˈes
ridícul € ridícul € AQ0MS0 € riðˈikul
ridícul € ridícul € NCMS000 € riðˈikul
ridícula € ridícul € AQ0FS0 € riðˈikulə
ridículament € ridículament € ZRG € riðˈikuləmˈen
ridícules € ridícul € AQ0FP0 € riðˈikuləs
ridiculesa € ridiculesa € NCFS000 € riðikulˈɛzə
ridiculeses € ridiculesa € NCFP000 € riðikulˈɛzəs
