desficiosament € desficiosament € ZRG € dəsfisiˈozəmˈen
desficioses € desficiós € AQ0FP0 € dəsfisiˈozəs
desficiosos € desficiós € AQ0MP0 € dəsfisiˈozus
desficis € desfici € NCMP000 € dəsfˈisis
desfiem € desfiar € VMIP1P00 € dəsfiˈɛm
desfiem € desfiar € VMM01P00 € dəsfiˈɛm
desfiem € desfiar € VMSP1P00 € dəsfiˈɛm
desfien € desfiar € VMIP3P00 € dəsfˈiən
desfies € desfiar € VMIP2S00 € dəsfˈiəs
desfiés € desfiar € VMSI1S01 € dəsfiˈes
desfiéssim € desfiar € VMSI1P02 € dəsfiˈesim
desfiessin € desfiar € VMSI3P02 € dəsfiˈesin
desfiessis € desfiar € VMSI2S02 € dəsfiˈesis
desfiéssiu € desfiar € VMSI2P02 € dəsfiˈesiw
desfieu € desfiar € VMIP2P00 € dəsfiˈɛw
desfieu € desfiar € VMM02P0X € dəsfiˈɛw
desfieu € desfiar € VMSP2P00 € dəsfiˈɛw
desfigura € desfigurar € VMIP3S00 € dəsfiɣˈuɾə
desfigura € desfigurar € VMM02S00 € dəsfiɣˈuɾə
desfigurà € desfigurar € VMIS3S00 € dəsfiɣuɾˈa
desfigurable € desfigurable € AQ0CS0 € dəsfiɣuɾˈabblə
desfigurables € desfigurable € AQ0CP0 € dəsfiɣuɾˈabbləs
desfiguració € desfiguració € NCFS000 € dəsfiɣuɾəsiˈo
desfiguracions € desfiguració € NCFP000 € dəsfiɣuɾəsiˈons
desfigurada € desfigurar € VMP00SF0 € dəsfiɣuɾˈaðə
desfigurades € desfigurar € VMP00PF0 € dəsfiɣuɾˈaðəs
desfigurador € desfigurador € AQ0MS0 € dəsfiɣuɾəðˈo
desfiguradora € desfigurador € AQ0FS0 € dəsfiɣuɾəðˈoɾə
desfiguradores € desfigurador € AQ0FP0 € dəsfiɣuɾəðˈoɾəs
desfiguradors € desfigurador € AQ0MP0 € dəsfiɣuɾəðˈos
desfigurament € desfigurament € NCMS000 € dəsfiɣuɾəmˈen
desfiguraments € desfigurament € NCMP000 € dəsfiɣuɾəmˈens
desfigurant € desfigurar € VMG00000 € dəsfiɣuɾˈan
desfigurar € desfigurar € VMN00000 € dəsfiɣuɾˈa
desfigurarà € desfigurar € VMIF3S00 € dəsfiɣuɾəɾˈa
desfiguraran € desfigurar € VMIF3P00 € dəsfiɣuɾəɾˈan
