amniotitis € amniotitis € NCFN000 € əmniutˈitis
amniotomia € amniotomia € NCFS000 € əmniutumˈiə
amniotomies € amniotomia € NCFP000 € əmniutumˈiəs
àmniques € àmnic € AQ0FP0 € ˈamnikəs
amnis € amni € NCMP000 € ˈamnis
amnistia € amnistia € NCFS000 € əmnistˈiə
amnistia € amnistiar € VMIP3S00 € əmnistˈiə
amnistia € amnistiar € VMM02S00 € əmnistˈiə
amnistià € amnistiar € VMIS3S00 € əmnistiˈa
amnistiada € amnistiar € VMP00SF0 € əmnistiˈaðə
amnistiades € amnistiar € VMP00PF0 € əmnistiˈaðəs
amnistiant € amnistiar € VMG00000 € əmnistiˈan
amnistiar € amnistiar € VMN00000 € əmnistiˈa
amnistiarà € amnistiar € VMIF3S00 € əmnistiəɾˈa
amnistiaran € amnistiar € VMIF3P00 € əmnistiəɾˈan
amnistiaràs € amnistiar € VMIF2S00 € əmnistiəɾˈas
amnistiaré € amnistiar € VMIF1S00 € əmnistiəɾˈe
amnistiarem € amnistiar € VMIF1P00 € əmnistiəɾˈɛm
amnistiàrem € amnistiar € VMIS1P00 € əmnistiˈaɾəm
amnistiaren € amnistiar € VMIS3P00 € əmnistiˈaɾən
amnistiares € amnistiar € VMIS2S00 € əmnistiˈaɾəs
amnistiareu € amnistiar € VMIF2P00 € əmnistiəɾˈɛw
amnistiàreu € amnistiar € VMIS2P00 € əmnistiˈaɾəw
amnistiaria € amnistiar € VMCC1S00 € əmnistiəɾˈiə
amnistiaríem € amnistiar € VMCC1P00 € əmnistiəɾˈiəm
amnistiarien € amnistiar € VMCC3P00 € əmnistiəɾˈiən
amnistiaries € amnistiar € VMCC2S00 € əmnistiəɾˈiəs
amnistiaríeu € amnistiar € VMCC2P00 € əmnistiəɾˈiəw
amnistiat € amnistiar € VMP00SM0 € əmnistiˈat
amnistiats € amnistiar € VMP00PM0 € əmnistiˈats
amnistiava € amnistiar € VMII1S00 € əmnistiˈaβə
amnistiàvem € amnistiar € VMII1P00 € əmnistiˈaβəm
amnistiaven € amnistiar € VMII3P00 € əmnistiˈaβən
amnistiaves € amnistiar € VMII2S00 € əmnistiˈaβəs
amnistiàveu € amnistiar € VMII2P00 € əmnistiˈaβəw
amnistiem € amnistiar € VMIP1P00 € əmnistiˈɛm
