Falkland € Falkland € NPFPG00 € fəlklˈan
fall € fall € NCMS000 € fˈaʎ
Falla € Falla € NPCNSP0 € fˈaʎə
falla € falla € NCFS000 € fˈaʎə
falla € fallar € VMIP3S00 € fˈaʎə
falla € fallar € VMM02S00 € fˈaʎə
fallà € fallar € VMIS3S00 € fəʎˈa
fallada € fallada € NCFS000 € fəʎˈaðə
fallada € fallar € VMP00SF0 € fəʎˈaðə
fallades € fallada € NCFP000 € fəʎˈaðəs
fallades € fallar € VMP00PF0 € fəʎˈaðəs
fallaire € fallaire € NCCS000 € fəʎˈajɾə
fallaires € fallaire € NCCP000 € fəʎˈajɾəs
fallanca € fallanca € NCFS000 € fəʎˈaŋkə
fallanques € fallanca € NCFP000 € fəʎˈaŋkəs
fallant € fallar € VMG00000 € fəʎˈan
fallar € fallar € VMN00000 € fəʎˈa
fallarà € fallar € VMIF3S00 € fəʎəɾˈa
fallaran € fallar € VMIF3P00 € fəʎəɾˈan
fallaràs € fallar € VMIF2S00 € fəʎəɾˈas
fallaré € fallar € VMIF1S00 € fəʎəɾˈe
fallarem € fallar € VMIF1P00 € fəʎəɾˈɛm
fallàrem € fallar € VMIS1P00 € fəʎˈaɾəm
fallaren € fallar € VMIS3P00 € fəʎˈaɾən
fallares € fallar € VMIS2S00 € fəʎˈaɾəs
fallareu € fallar € VMIF2P00 € fəʎəɾˈɛw
fallàreu € fallar € VMIS2P00 € fəʎˈaɾəw
fallaria € fallar € VMCC1S00 € fəʎəɾˈiə
fallaríem € fallar € VMCC1P00 € fəʎəɾˈiəm
fallarien € fallar € VMCC3P00 € fəʎəɾˈiən
fallaries € fallar € VMCC2S00 € fəʎəɾˈiəs
fallaríeu € fallar € VMCC2P00 € fəʎəɾˈiəw
fallat € fallar € VMP00SM0 € fəʎˈat
fallats € fallar € VMP00PM0 € fəʎˈats
fallava € fallar € VMII1S00 € fəʎˈaβə
fallàvem € fallar € VMII1P00 € fəʎˈaβəm
fallaven € fallar € VMII3P00 € fəʎˈaβən
